REC: 101086	475.0	618.0	-143.0	546.0	
REC: 101126	475.0	618.0	-143.0	546.0	
REC: 101172	475.0	618.0	-143.0	546.0	
REC: 101213	472.0	619.0	-147.0	545.0	
REC: 101250	470.0	621.0	-151.0	545.0	
REC: 101286	470.0	621.0	-151.0	545.0	
REC: 101323	469.0	622.0	-153.0	545.0	
REC: 101358	467.0	622.0	-155.0	544.0	
REC: 101393	466.0	623.0	-157.0	544.0	
REC: 101429	465.0	623.0	-158.0	544.0	
REC: 101465	465.0	623.0	-158.0	544.0	
REC: 101500	465.0	623.0	-158.0	544.0	
REC: 101550	468.0	651.0	-183.0	559.0	
REC: 101586	468.0	777.0	-309.0	622.0	
REC: 101621	420.0	952.0	-532.0	686.0	
REC: 101657	335.0	1053.0	-718.0	694.0	
REC: 101693	252.0	1057.0	-805.0	654.0	
REC: 101729	161.0	966.0	-805.0	563.0	
REC: 101765	146.0	901.0	-755.0	523.0	
REC: 101801	182.0	790.0	-608.0	486.0	
REC: 101839	280.0	705.0	-425.0	492.0	
REC: 101876	517.0	630.0	-113.0	573.0	
REC: 101914	636.0	652.0	-16.0	644.0	
REC: 101950	650.0	760.0	-110.0	705.0	
REC: 101987	572.0	970.0	-398.0	771.0	
REC: 102024	391.0	1137.0	-746.0	764.0	
REC: 102061	259.0	1085.0	-826.0	672.0	
REC: 102100	180.0	919.0	-739.0	549.0	
REC: 102135	223.0	716.0	-493.0	469.0	
REC: 102172	394.0	665.0	-271.0	529.0	
REC: 102208	605.0	718.0	-113.0	661.0	
REC: 102249	629.0	969.0	-340.0	799.0	
REC: 102287	440.0	1125.0	-685.0	782.0	
REC: 102324	235.0	1112.0	-877.0	673.0	
REC: 102359	156.0	829.0	-673.0	492.0	
REC: 102397	282.0	604.0	-322.0	443.0	
REC: 102433	491.0	558.0	-67.0	524.0	
REC: 102470	592.0	632.0	-40.0	612.0	
REC: 102507	497.0	830.0	-333.0	663.0	
REC: 102543	320.0	901.0	-581.0	610.0	
REC: 102582	204.0	836.0	-632.0	520.0	
REC: 102618	205.0	624.0	-419.0	414.0	
REC: 102655	415.0	369.0	46.0	392.0	
REC: 102691	577.0	396.0	181.0	486.0	
REC: 102727	618.0	569.0	49.0	593.0	
REC: 102762	494.0	801.0	-307.0	647.0	
REC: 102798	282.0	897.0	-615.0	589.0	
REC: 102834	216.0	753.0	-537.0	484.0	
REC: 102870	248.0	409.0	-161.0	328.0	
REC: 102906	407.0	178.0	229.0	292.0	
REC: 102944	544.0	199.0	345.0	371.0	
REC: 102980	614.0	496.0	118.0	555.0	
REC: 103017	476.0	779.0	-303.0	627.0	
REC: 103055	318.0	875.0	-557.0	596.0	
REC: 103091	208.0	673.0	-465.0	440.0	
REC: 103132	224.0	288.0	-64.0	256.0	
REC: 103172	404.0	45.0	359.0	224.0	
REC: 103209	539.0	104.0	435.0	321.0	
REC: 103245	613.0	323.0	290.0	468.0	
REC: 103282	501.0	639.0	-138.0	570.0	
REC: 103317	373.0	673.0	-300.0	523.0	
REC: 103354	272.0	513.0	-241.0	392.0	
REC: 103391	256.0	211.0	45.0	233.0	
REC: 103427	330.0	11.0	319.0	170.0	
REC: 103464	399.0	27.0	372.0	213.0	
REC: 103500	435.0	147.0	288.0	291.0	
REC: 103536	434.0	223.0	211.0	328.0	
REC: 103573	428.0	228.0	200.0	328.0	
REC: 103609	426.0	224.0	202.0	325.0	
REC: 103646	426.0	219.0	207.0	322.0	
REC: 103684	428.0	214.0	214.0	321.0	
REC: 103721	430.0	211.0	219.0	320.0	
REC: 103760	430.0	211.0	219.0	320.0	
REC: 103802	430.0	211.0	219.0	320.0	
REC: 103838	430.0	211.0	219.0	320.0	
REC: 103874	430.0	211.0	219.0	320.0	
REC: 103910	430.0	211.0	219.0	320.0	
